Input_Size_k,Encode_No_Test_s,Encode_With_Test_s,Decode_No_Test_s,Decode_With_Test_s
100,0.0011763000002247281,0.006153700000140816,0.00013050000052317046,0.005107900000439258
1000,0.007077999998728046,0.009275500000512693,0.0011990999992121942,0.003396600000996841
2000,0.01345259999652626,0.015638899996702094,0.002337099998840131,0.004523399999015965
3000,0.02809969999725581,0.030351699999300763,0.003873499998007901,0.0061255000000528526
4000,0.028375199999572942,0.030955699996411568,0.0047986999998101965,0.007379199996648822
5000,0.03319320000082371,0.036622400002670474,0.005907599999773083,0.00933680000161985
6000,0.045076000002154615,0.04816170000412967,0.006993999999394873,0.010079700001369929
7000,0.050471200000174576,0.05265970000255038,0.009220399999321671,0.011408900001697475
8000,0.05399369999940973,0.0560594000016863,0.009318199998233467,0.011383900000510039
9000,0.06123440000010305,0.063347999999678,0.011334200000419514,0.013447799999994459
10000,0.06659189999845694,0.06910059999790974,0.011505200000101468,0.014013899999554269
